text,intent,predicted_intent,confidence,source,is_correct
भित्र जान सुरक्षित,building_damage_check,safe_location_query,0.667,ml,False
इमारत स्थिर,building_damage_check,safe_location_query,0.3394,ml,False
structural engineer,building_damage_check,building_damage_check,0.7114,ml,True
building evaluation,building_damage_check,evacuation_guidance_query,0.4151,ml,False
safety certification,building_damage_check,safe_location_query,0.417,ml,False
इमारत मूल्यांकन,building_damage_check,building_damage_check,0.6781,ml,True
सुरक्षा प्रमाणीकरण,building_damage_check,safe_location_query,0.3151,ml,False
engineer mulyankan,building_damage_check,building_damage_check,0.6472,ml,True
suraksha pramanikaran,building_damage_check,safe_location_query,0.3155,ml,False
इमारत मूल्यांकन nepal,building_damage_check,building_damage_check,0.5269,ml,True
qsafe suraksha pramanikaran,building_damage_check,safe_location_query,0.5768,ml,False
qsafe sanrachanatmak akhanda,building_damage_check,building_damage_check,0.98,keyword,True
safe to enter nepal,building_damage_check,evacuation_guidance_query,0.3238,ml,False
structural integrity nepal,building_damage_check,building_damage_check,0.98,keyword,True
इमारत स्थिर please,building_damage_check,safe_location_query,0.296,ml,False
cracks in walls nepal,building_damage_check,building_damage_check,0.8065,ml,True
cracks in walls urgent,building_damage_check,building_damage_check,0.8869,ml,True
please adhar kshati,building_damage_check,building_damage_check,0.98,keyword,True
qsafe मेरो घर सुरक्षित छ,building_damage_check,safe_location_query,0.4102,ml,False
आधार क्षति now,building_damage_check,building_damage_check,0.3761,ml,True
please structural engineer,building_damage_check,building_damage_check,0.5287,ml,True
building evaluation urgent,building_damage_check,evacuation_guidance_query,0.3157,ml,False
sanrachanatmak phut qsafe,building_damage_check,building_damage_check,0.98,keyword,True
help building evaluation,building_damage_check,evacuation_guidance_query,0.3185,ml,False
emergency suraksha pramanikaran,building_damage_check,preparedness_tips_query,0.4084,ml,False
cracks in walls now,building_damage_check,building_damage_check,0.9202,ml,True
nepal इमारत मूल्यांकन,building_damage_check,building_damage_check,0.4989,ml,True
adhar kshati emergency,building_damage_check,building_damage_check,0.98,keyword,True
building stable now,building_damage_check,building_damage_check,0.4185,ml,True
help संरचनात्मक फुट,building_damage_check,building_damage_check,0.6705,ml,True
mero ghar surakshit cha please,building_damage_check,building_damage_check,0.98,keyword,True
emergency building stable,building_damage_check,building_collapse_report,0.3496,ml,False
emergency safe to enter,building_damage_check,fallback_unclear,0.2133,fallback,False
nepal suraksha pramanikaran,building_damage_check,safe_location_query,0.2712,ml,False
kshati mulyankan emergency,building_damage_check,fallback_unclear,0.1215,fallback,False
aftershocks coming,aftershock_information_query,aftershock_information_query,0.98,keyword,True
more earthquakes expected,aftershock_information_query,earthquake_occurring_report,0.9675,ml,False
when will aftershocks stop,aftershock_information_query,aftershock_information_query,0.98,keyword,True
aftershock duration,aftershock_information_query,aftershock_information_query,0.98,keyword,True
पश्चभूकम्प आउँदैछ,aftershock_information_query,aftershock_information_query,0.9773,ml,True
थप भूकम्प अपेक्षा,aftershock_information_query,earthquake_occurring_report,0.4729,ml,False
पश्चभूकम्प अवधि,aftershock_information_query,aftershock_information_query,0.9813,ml,True
thap bhukamp apeksha,aftershock_information_query,earthquake_occurring_report,0.3993,ml,False
pashbhukamp avadhi,aftershock_information_query,aftershock_information_query,0.9497,ml,True
aftershock magnitude,aftershock_information_query,aftershock_information_query,0.98,keyword,True
how strong aftershocks,aftershock_information_query,aftershock_information_query,0.98,keyword,True
aftershock intensity,aftershock_information_query,aftershock_information_query,0.98,keyword,True
पश्चभूकम्प कति बलियो,aftershock_information_query,aftershock_information_query,0.9724,ml,True
पश्चभूकम्प तीव्रता,aftershock_information_query,aftershock_information_query,0.954,ml,True
pashbhukamp magnitude,aftershock_information_query,aftershock_information_query,0.9236,ml,True
pashbhukamp kati baliyo,aftershock_information_query,aftershock_information_query,0.8393,ml,True
aftershock pattern,aftershock_information_query,aftershock_information_query,0.98,keyword,True
पश्चभूकम्प समय,aftershock_information_query,aftershock_information_query,0.9731,ml,True
arko pashbhukamp kahile,aftershock_information_query,aftershock_information_query,0.9556,ml,True
pashbhukamp aavritti,aftershock_information_query,aftershock_information_query,0.9604,ml,True
stay safe during aftershocks,aftershock_information_query,aftershock_information_query,0.98,keyword,True
aftershock drill,aftershock_information_query,aftershock_information_query,0.98,keyword,True
पश्चभूकम्प अभ्यास,aftershock_information_query,preparedness_tips_query,0.95,keyword_fuzzy,False
pashbhukamp suraksha,aftershock_information_query,aftershock_information_query,0.8035,ml,True
pashbhukamp abhyas,aftershock_information_query,aftershock_information_query,0.9494,ml,True
please stay safe during aftershocks,aftershock_information_query,aftershock_information_query,0.98,keyword,True
please aftershocks coming,aftershock_information_query,aftershock_information_query,0.98,keyword,True
पश्चभूकम्प आकार please,aftershock_information_query,aftershock_information_query,0.9452,ml,True
qsafe aftershock pattern,aftershock_information_query,aftershock_information_query,0.98,keyword,True
help how strong aftershocks,aftershock_information_query,aftershock_information_query,0.98,keyword,True
emergency बस्नु ढाक्नु पकड्नु,aftershock_information_query,preparedness_tips_query,0.6156,ml,False
aftershock drill now,aftershock_information_query,aftershock_information_query,0.98,keyword,True
थप भूकम्प अपेक्षा nepal,aftershock_information_query,earthquake_occurring_report,0.309,ml,False
emergency aftershock intensity,aftershock_information_query,aftershock_information_query,0.98,keyword,True
पश्चभूकम्प तीव्रता please,aftershock_information_query,aftershock_information_query,0.9099,ml,True
aftershock intensity help,aftershock_information_query,aftershock_information_query,0.98,keyword,True
aftershock drill nepal,aftershock_information_query,aftershock_information_query,0.98,keyword,True
पश्चभूकम्प आउँदैछ help,aftershock_information_query,aftershock_information_query,0.9702,ml,True
aftershock magnitude qsafe,aftershock_information_query,aftershock_information_query,0.98,keyword,True
nepal aftershocks coming,aftershock_information_query,aftershock_information_query,0.98,keyword,True
aftershock pattern please,aftershock_information_query,aftershock_information_query,0.98,keyword,True
qsafe pashbhukamp avadhi,aftershock_information_query,aftershock_information_query,0.9036,ml,True
पश्चभूकम्प अवधि help,aftershock_information_query,aftershock_information_query,0.9732,ml,True
help arko pashbhukamp kahile,aftershock_information_query,aftershock_information_query,0.9478,ml,True
nepal basna dhaknu pakdnu,aftershock_information_query,fallback_unclear,0.0854,fallback,False
aftershock intensity nepal,aftershock_information_query,aftershock_information_query,0.98,keyword,True
earthquake preparedness,preparedness_tips_query,preparedness_tips_query,0.8615,ml,True
safety tips,preparedness_tips_query,preparedness_tips_query,0.98,keyword,True
आपद तयारी,preparedness_tips_query,preparedness_tips_query,0.8744,ml,True
आपतकालीन किट,preparedness_tips_query,preparedness_tips_query,1.0,keyword,True
सुरक्षा टिप्स,preparedness_tips_query,safe_location_query,0.7847,ml,False
bhukamp tayari,preparedness_tips_query,earthquake_occurring_report,0.4339,ml,False
emergency supplies,preparedness_tips_query,preparedness_tips_query,0.6785,ml,True
first aid kit,preparedness_tips_query,first_aid_query,0.98,keyword,False
खाना पानी भण्डारण,preparedness_tips_query,food_water_request,0.9319,ml,False
प्राथमिक उपचार किट,preparedness_tips_query,first_aid_query,0.95,keyword_fuzzy,False
khana pani bhandaran,preparedness_tips_query,food_water_request,0.9021,ml,False
prathamik upchar kit,preparedness_tips_query,first_aid_query,0.98,keyword,False
family emergency plan,preparedness_tips_query,evacuation_guidance_query,0.5295,ml,False
contact information,preparedness_tips_query,emergency_contact_request,0.476,ml,False
परिवार आपतकालीन योजना,preparedness_tips_query,evacuation_guidance_query,0.5369,ml,False
सम्पर्क जानकारी,preparedness_tips_query,emergency_contact_request,0.5147,ml,False
सुरक्षा प्रक्रिया,preparedness_tips_query,safe_location_query,0.6242,ml,False
bhukamp abhyas,preparedness_tips_query,earthquake_occurring_report,0.4935,ml,False
aapatkalin pratikriya,preparedness_tips_query,preparedness_tips_query,0.4409,ml,True
खाना पानी भण्डारण help,preparedness_tips_query,food_water_request,0.7292,ml,False
प्राथमिक उपचार किट please,preparedness_tips_query,first_aid_query,0.9,ml,False
खाना पानी भण्डारण now,preparedness_tips_query,food_water_request,0.8736,ml,False
first aid kit urgent,preparedness_tips_query,first_aid_query,0.98,keyword,False
bhukamp abhyas please,preparedness_tips_query,fallback_unclear,0.1739,fallback,False
contact information now,preparedness_tips_query,emergency_contact_request,0.412,ml,False
contact information urgent,preparedness_tips_query,fallback_unclear,0.2463,fallback,False
please prathamik upchar kit,preparedness_tips_query,first_aid_query,0.98,keyword,False
family emergency plan nepal,preparedness_tips_query,evacuation_guidance_query,0.7158,ml,False
help contact information,preparedness_tips_query,emergency_contact_request,0.3323,ml,False
aapatkalin pratikriya qsafe,preparedness_tips_query,preparedness_tips_query,0.428,ml,True
first aid kit help,preparedness_tips_query,first_aid_query,0.98,keyword,False
please first aid kit,preparedness_tips_query,first_aid_query,0.98,keyword,False
emergency khana pani bhandaran,preparedness_tips_query,food_water_request,0.8376,ml,False
meeting point qsafe,preparedness_tips_query,preparedness_tips_query,0.98,keyword,True
nepal भेटथलो,preparedness_tips_query,fallback_unclear,0.1903,fallback,False
bhukamp tayari emergency,preparedness_tips_query,fallback_unclear,0.1736,fallback,False
meeting point emergency,preparedness_tips_query,preparedness_tips_query,0.98,keyword,True
bhukamp tayari nepal,preparedness_tips_query,fallback_unclear,0.1613,fallback,False
please safety tips,preparedness_tips_query,preparedness_tips_query,0.98,keyword,True
family emergency plan now,preparedness_tips_query,evacuation_guidance_query,0.5918,ml,False
please family emergency plan,preparedness_tips_query,evacuation_guidance_query,0.4364,ml,False
please contact information,preparedness_tips_query,emergency_contact_request,0.3109,ml,False
आपद तयारी help,preparedness_tips_query,preparedness_tips_query,0.8506,ml,True
safe exit path,evacuation_guidance_query,evacuation_guidance_query,0.98,keyword,True
escape route,evacuation_guidance_query,road_blockage_report,0.4434,ml,False
निकासी मार्ग,evacuation_guidance_query,evacuation_guidance_query,0.5553,ml,True
सुरक्षित निस्कने मार्ग,evacuation_guidance_query,evacuation_guidance_query,0.7565,ml,True
बाहिर निस्कने मार्ग,evacuation_guidance_query,evacuation_guidance_query,0.8137,ml,True
nikasi marg,evacuation_guidance_query,road_blockage_report,0.3665,ml,False
निकासी केन्द्र,evacuation_guidance_query,evacuation_guidance_query,0.5492,ml,True
सुरक्षित क्षेत्र स्थान,evacuation_guidance_query,safe_location_query,0.9323,ml,False
nikasi kendra,evacuation_guidance_query,family_reunification_status,0.303,ml,False
evacuation procedures,evacuation_guidance_query,evacuation_guidance_query,0.9723,ml,True
evacuation drill,evacuation_guidance_query,evacuation_guidance_query,0.9192,ml,True
aapatkalin yojana,evacuation_guidance_query,preparedness_tips_query,0.8095,ml,False
nikasi abhyas,evacuation_guidance_query,fallback_unclear,0.1744,fallback,False
leave now,evacuation_guidance_query,fallback_unclear,0.1803,fallback,False
immediate evacuation,evacuation_guidance_query,evacuation_guidance_query,0.9446,ml,True
निकासी समय,evacuation_guidance_query,evacuation_guidance_query,0.6099,ml,True
अहिले निस्कनु,evacuation_guidance_query,evacuation_guidance_query,0.6391,ml,True
nikasi samay,evacuation_guidance_query,fallback_unclear,0.2398,fallback,False
safe exit path qsafe,evacuation_guidance_query,evacuation_guidance_query,0.98,keyword,True
ashray sthan please,evacuation_guidance_query,shelter_request,0.6923,ml,False
safe exit path please,evacuation_guidance_query,evacuation_guidance_query,0.98,keyword,True
safe exit path emergency,evacuation_guidance_query,evacuation_guidance_query,0.98,keyword,True
nikasi marg help,evacuation_guidance_query,sos_help_request,0.3535,ml,False
qsafe निकासी केन्द्र,evacuation_guidance_query,evacuation_guidance_query,0.6565,ml,True
leave now emergency,evacuation_guidance_query,sos_help_request,0.3255,ml,False
turuntai nisknu qsafe,evacuation_guidance_query,evacuation_guidance_query,0.6597,ml,True
qsafe बाहिर निस्कने मार्ग,evacuation_guidance_query,evacuation_guidance_query,0.7769,ml,True
nepal safe exit path,evacuation_guidance_query,evacuation_guidance_query,0.98,keyword,True
भेटथलो emergency,evacuation_guidance_query,sos_help_request,0.2594,ml,False
nepal तुरुन्तै निस्कनु,evacuation_guidance_query,evacuation_guidance_query,0.8386,ml,True
evacuation procedures urgent,evacuation_guidance_query,evacuation_guidance_query,0.9009,ml,True
nikasi samay please,evacuation_guidance_query,fallback_unclear,0.2232,fallback,False
निकासी मार्ग emergency,evacuation_guidance_query,evacuation_guidance_query,0.5654,ml,True
तुरुन्तै निस्कनु emergency,evacuation_guidance_query,evacuation_guidance_query,0.7524,ml,True
aapatkalin yojana urgent,evacuation_guidance_query,preparedness_tips_query,0.756,ml,False
अहिले निस्कनु now,evacuation_guidance_query,evacuation_guidance_query,0.6168,ml,True
help निकासी मार्ग,evacuation_guidance_query,evacuation_guidance_query,0.368,ml,True
निकासी समय now,evacuation_guidance_query,evacuation_guidance_query,0.6191,ml,True
evacuation drill now,evacuation_guidance_query,evacuation_guidance_query,0.9067,ml,True
सुरक्षित क्षेत्र स्थान emergency,evacuation_guidance_query,safe_location_query,0.8628,ml,False
qsafe aapatkalin yojana,evacuation_guidance_query,preparedness_tips_query,0.8018,ml,False
evacuation drill nepal,evacuation_guidance_query,evacuation_guidance_query,0.9395,ml,True
safe location,safe_location_query,family_reunification_status,0.4835,ml,False
where is safe,safe_location_query,safe_location_query,0.8454,ml,True
safe place,safe_location_query,safe_location_query,1.0,keyword,True
कहाँ सुरक्षित,safe_location_query,safe_location_query,0.9299,ml,True
सुरक्षित ठाउँ,safe_location_query,safe_location_query,1.0,keyword,True
surakshit sthan,safe_location_query,evacuation_guidance_query,0.3099,ml,False
surakshit thau,safe_location_query,fallback_unclear,0.1949,fallback,False
suraksha kshetr,safe_location_query,safe_location_query,0.7329,ml,True
खुला स्थान सुरक्षा,safe_location_query,safe_location_query,0.8218,ml,True
जमिन सुरक्षा,safe_location_query,safe_location_query,0.7094,ml,True
khula sthan suraksha,safe_location_query,safe_location_query,0.5004,ml,True
jamin suraksha,safe_location_query,safe_location_query,0.6887,ml,True
building safety,safe_location_query,building_damage_check,0.6662,ml,False
inside building,safe_location_query,building_damage_check,0.5155,ml,False
इमारत बाहिर,safe_location_query,building_damage_check,0.3477,ml,False
imarat bahar,safe_location_query,building_damage_check,0.2789,ml,False
away from hazards,safe_location_query,fallback_unclear,0.176,fallback,False
risk areas,safe_location_query,fallback_unclear,0.1156,fallback,False
hazardous locations,safe_location_query,fallback_unclear,0.1243,fallback,False
खतराबाट टाढा,safe_location_query,fallback_unclear,0.1388,fallback,False
खतरनाक स्थान,safe_location_query,shelter_request,0.2698,ml,False
khatrabata tada,safe_location_query,fallback_unclear,0.0842,fallback,False
jokhim kshetr,safe_location_query,fallback_unclear,0.243,fallback,False
khatranak sthan,safe_location_query,fallback_unclear,0.1405,fallback,False
please कहाँ सुरक्षित,safe_location_query,safe_location_query,0.8924,ml,True
इमारत सुरक्षा please,safe_location_query,safe_location_query,0.7685,ml,True
emergency hazardous locations,safe_location_query,fallback_unclear,0.1554,fallback,False
building safety now,safe_location_query,building_damage_check,0.6646,ml,False
where is safe help,safe_location_query,safe_location_query,0.7415,ml,True
इमारत बाहिर please,safe_location_query,building_damage_check,0.2513,ml,False
खुला स्थान सुरक्षा now,safe_location_query,safe_location_query,0.6493,ml,True
risk areas qsafe,safe_location_query,fallback_unclear,0.0837,fallback,False
help safe location,safe_location_query,family_reunification_status,0.49,ml,False
inside building help,safe_location_query,building_damage_check,0.3332,ml,False
qsafe imarat bahar,safe_location_query,safe_location_query,0.3742,ml,True
जोखिम क्षेत्र emergency,safe_location_query,safe_location_query,0.3297,ml,True
jamin suraksha help,safe_location_query,safe_location_query,0.4325,ml,True
help imarat bahar,safe_location_query,fallback_unclear,0.2224,fallback,False
park suraksha urgent,safe_location_query,safe_location_query,0.6112,ml,True
help khatranak sthan,safe_location_query,fallback_unclear,0.2147,fallback,False
khatrabata tada help,safe_location_query,sos_help_request,0.4071,ml,False
please खेत सुरक्षा,safe_location_query,safe_location_query,0.8713,ml,True
खुला स्थान सुरक्षा please,safe_location_query,safe_location_query,0.6862,ml,True
khatranak sthan help,safe_location_query,fallback_unclear,0.1449,fallback,False
please suraksha kshetr,safe_location_query,safe_location_query,0.73,ml,True
safe location qsafe,safe_location_query,family_reunification_status,0.4639,ml,False
need shelter,shelter_request,shelter_request,0.98,keyword,True
emergency housing,shelter_request,fallback_unclear,0.1465,fallback,False
आश्रय चाहिन्छ,shelter_request,shelter_request,0.9359,ml,True
आश्रय आवश्यक,shelter_request,shelter_request,0.8787,ml,True
आपतकालीन आवास,shelter_request,fallback_unclear,0.1609,fallback,False
अस्थायी आवास,shelter_request,fallback_unclear,0.2273,fallback,False
ashray awashyak,shelter_request,shelter_request,0.8781,ml,True
aapatkalin awas,shelter_request,preparedness_tips_query,0.3168,ml,False
where is shelter,shelter_request,shelter_request,0.7454,ml,True
नजिकै आश्रय,shelter_request,shelter_request,0.9425,ml,True
स्थानीय आश्रय,shelter_request,shelter_request,0.9795,ml,True
sthaniya ashray,shelter_request,shelter_request,0.7713,ml,True
shelter capacity,shelter_request,shelter_request,0.9788,ml,True
accommodation available,shelter_request,shelter_request,0.5724,ml,True
आश्रय क्षमता,shelter_request,shelter_request,0.9167,ml,True
बस्ने स्थान उपलब्ध,shelter_request,shelter_request,0.939,ml,True
khali sthan,shelter_request,fallback_unclear,0.1576,fallback,False
medical services,shelter_request,emergency_contact_request,0.3542,ml,False
sanitation facilities,shelter_request,fallback_unclear,0.2222,fallback,False
ashray suvidha,shelter_request,shelter_request,0.8141,ml,True
chikitsa seva,shelter_request,emergency_contact_request,0.363,ml,False
sarsaphai suvidha,shelter_request,fallback_unclear,0.1041,fallback,False
नजिकै आश्रय qsafe,shelter_request,shelter_request,0.9265,ml,True
need shelter emergency,shelter_request,shelter_request,0.98,keyword,True
नजिकै आश्रय help,shelter_request,shelter_request,0.9301,ml,True
आश्रय चाहिन्छ urgent,shelter_request,shelter_request,0.8708,ml,True
आश्रय आवश्यक please,shelter_request,shelter_request,0.829,ml,True
help अस्थायी आवास,shelter_request,sos_help_request,0.3314,ml,False
qsafe medical services,shelter_request,medical_emergency_request,0.3759,ml,False
sanitation facilities please,shelter_request,fallback_unclear,0.2145,fallback,False
khali sthan urgent,shelter_request,fallback_unclear,0.1305,fallback,False
please आश्रय क्षमता,shelter_request,shelter_request,0.9123,ml,True
sanitation facilities qsafe,shelter_request,fallback_unclear,0.2222,fallback,False
qsafe आपतकालीन आवास,shelter_request,fallback_unclear,0.2278,fallback,False
emergency where is shelter,shelter_request,shelter_request,0.6431,ml,True
please where is shelter,shelter_request,shelter_request,0.6946,ml,True
aapatkalin awas please,shelter_request,fallback_unclear,0.2252,fallback,False
need shelter urgent,shelter_request,shelter_request,0.98,keyword,True
आश्रय क्षमता qsafe,shelter_request,shelter_request,0.8703,ml,True
medical services help,shelter_request,emergency_contact_request,0.3222,ml,False
ashray suvidha nepal,shelter_request,shelter_request,0.5168,ml,True
आश्रय सुविधा emergency,shelter_request,shelter_request,0.8948,ml,True
shelter location urgent,shelter_request,shelter_request,0.909,ml,True
need food,food_water_request,food_water_request,0.98,keyword,True
need water,food_water_request,food_water_request,0.98,keyword,True
खाना चाहिन्छ,food_water_request,food_water_request,0.4259,ml,True
तिर्खा लागेको,food_water_request,food_water_request,0.2546,ml,True
pani chaincha,food_water_request,food_water_request,0.7739,ml,True
bhok lageko,food_water_request,fallback_unclear,0.1509,fallback,False
tirkha lageko,food_water_request,fallback_unclear,0.1027,fallback,False
water distribution,food_water_request,food_water_request,0.9737,ml,True
पानी वितरण,food_water_request,food_water_request,0.9701,ml,True
राहत आपूर्ति,food_water_request,fallback_unclear,0.1525,fallback,False
दहायता वितरण,food_water_request,fallback_unclear,0.1854,fallback,False
pani vitran,food_water_request,food_water_request,0.9739,ml,True
emergency food,food_water_request,preparedness_tips_query,0.2948,ml,False
rations,food_water_request,food_water_request,0.95,keyword_fuzzy,True
आपतकालीन खाना,food_water_request,food_water_request,0.2969,ml,True
जीवित रहने किट,food_water_request,fallback_unclear,0.1308,fallback,False
राशन,food_water_request,food_water_request,0.3572,ml,True
aapatkalin pani,food_water_request,food_water_request,0.5581,ml,True
drinking water,food_water_request,food_water_request,1.0,keyword,True
safe water,food_water_request,food_water_request,0.7855,ml,True
water purification,food_water_request,food_water_request,0.7991,ml,True
piune pani,food_water_request,food_water_request,0.9189,ml,True
surakshit pani,food_water_request,food_water_request,0.407,ml,True
pani shuddhikaran,food_water_request,food_water_request,0.8141,ml,True
nepal pani chaincha,food_water_request,food_water_request,0.8497,ml,True
पानी वितरण nepal,food_water_request,food_water_request,0.9568,ml,True
दहायता वितरण emergency,food_water_request,fallback_unclear,0.154,fallback,False
pani shuddhikaran nepal,food_water_request,food_water_request,0.7963,ml,True
राहत आपूर्ति help,food_water_request,fallback_unclear,0.2253,fallback,False
तिर्खा लागेको help,food_water_request,sos_help_request,0.2883,ml,False
help पानी वितरण,food_water_request,food_water_request,0.9262,ml,True
rations qsafe,food_water_request,fallback_unclear,0.164,fallback,False
khana vitran emergency,food_water_request,food_water_request,0.8732,ml,True
clean water emergency,food_water_request,food_water_request,0.98,keyword,True
पानी वितरण emergency,food_water_request,food_water_request,0.8383,ml,True
tirkha lageko help,food_water_request,fallback_unclear,0.2344,fallback,False
emergency aapatkalin pani,food_water_request,food_water_request,0.3049,ml,True
nepal आपतकालीन खाना,food_water_request,food_water_request,0.3699,ml,True
drinking water urgent,food_water_request,food_water_request,0.98,keyword,True
जीवित रहने किट now,food_water_request,fallback_unclear,0.0973,fallback,False
emergency khana vitran,food_water_request,food_water_request,0.8769,ml,True
bhok lageko now,food_water_request,fallback_unclear,0.1116,fallback,False
emergency need food,food_water_request,food_water_request,0.98,keyword,True
emergency राशन,food_water_request,fallback_unclear,0.228,fallback,False
family missing,family_member_missing,family_member_missing,0.98,keyword,True
family lost,family_member_missing,family_member_missing,0.98,keyword,True
परिवार हराएका,family_member_missing,family_member_missing,0.9684,ml,True
परिवार फेला पार,family_member_missing,family_member_missing,0.7686,ml,True
परिवार गुम,family_member_missing,family_reunification_status,0.6822,ml,False
parivar haraeka,family_member_missing,family_member_missing,0.98,keyword,True
priyajan haraeka,family_member_missing,family_member_missing,0.98,keyword,True
parivar fela par,family_member_missing,family_reunification_status,0.98,keyword,False
parivar gum,family_member_missing,family_member_missing,0.98,keyword,True
haraeko vyakti,family_member_missing,family_member_missing,0.98,keyword,True
haraeko manis,family_member_missing,family_member_missing,0.98,keyword,True
haraeko report,family_member_missing,family_member_missing,0.5732,ml,True
haraeko vyakti report,family_member_missing,family_member_missing,0.98,keyword,True
haraeko manis report,family_member_missing,family_member_missing,0.98,keyword,True
last contact,family_member_missing,family_member_missing,0.95,keyword_fuzzy,True
last communication,family_member_missing,family_member_missing,0.98,keyword,True
अन्तिम पटक कहाँ देखियो,family_member_missing,fallback_unclear,0.2835,ml,False
अन्तिम सम्पर्क,family_member_missing,family_member_missing,0.4152,ml,True
antim patak dekieko sthan,family_member_missing,fallback_unclear,0.1768,fallback,False
antim patak kahan dekiyo,family_member_missing,fallback_unclear,0.148,fallback,False
antim sampark,family_member_missing,emergency_contact_request,0.2685,ml,False
family reunion,family_member_missing,family_reunification_status,0.9718,ml,False
locate family,family_member_missing,family_reunification_status,0.769,ml,False
family search,family_member_missing,family_reunification_status,0.5617,ml,False
परिवार पुनर्मिलन,family_member_missing,family_reunification_status,0.9367,ml,False
परिवार पत्ता लगाउनु,family_member_missing,family_member_missing,0.6394,ml,True
parivar fela parnu,family_member_missing,family_reunification_status,0.98,keyword,False
parivar patta lagaunu,family_member_missing,family_reunification_status,0.5363,ml,False
parivar khoj,family_member_missing,family_reunification_status,0.7706,ml,False
nepal parivar haraeka,family_member_missing,family_member_missing,0.98,keyword,True
emergency loved one missing,family_member_missing,family_member_missing,0.7028,ml,True
qsafe last contact,family_member_missing,family_member_missing,0.7247,ml,True
please parivar fela par,family_member_missing,family_reunification_status,0.98,keyword,False
परिवार गुम help,family_member_missing,family_reunification_status,0.4512,ml,False
emergency परिवार गुम,family_member_missing,family_member_missing,0.261,ml,True
please antim patak kahan dekiyo,family_member_missing,fallback_unclear,0.1194,fallback,False
haraeko report qsafe,family_member_missing,family_member_missing,0.5808,ml,True
हराएको मानिस urgent,family_member_missing,family_member_missing,0.9241,ml,True
priyajan haraeka urgent,family_member_missing,family_member_missing,0.98,keyword,True
help last contact,family_member_missing,family_member_missing,0.5955,ml,True
parivar haraeka nepal,family_member_missing,family_member_missing,0.98,keyword,True
परिवार पत्ता लगाउनु urgent,family_member_missing,family_member_missing,0.6038,ml,True
nepal haraeko manis,family_member_missing,family_member_missing,0.98,keyword,True
help locate family,family_member_missing,family_reunification_status,0.7453,ml,False
please family missing,family_member_missing,family_member_missing,0.98,keyword,True
please antim sampark,family_member_missing,fallback_unclear,0.1826,fallback,False
family status,family_reunification_status,family_reunification_status,0.8539,ml,True
where is family,family_reunification_status,family_reunification_status,0.98,keyword,True
परिवार कहाँ छ,family_reunification_status,family_reunification_status,0.2618,ml,True
पुनर्मिलन केन्द्र,family_reunification_status,family_reunification_status,0.6495,ml,True
परिवार भेटथलो,family_reunification_status,family_reunification_status,0.8444,ml,True
parivar beththalo,family_reunification_status,family_reunification_status,0.98,keyword,True
punarmilan sthan,family_reunification_status,family_reunification_status,0.98,keyword,True
family found,family_reunification_status,family_reunification_status,0.98,keyword,True
located family,family_reunification_status,family_reunification_status,0.8912,ml,True
परिवार फेला पारियो,family_reunification_status,family_member_missing,0.7382,ml,False
परिवार पत्ता लाग्यो,family_reunification_status,family_member_missing,0.7096,ml,False
parivar fela pariyo,family_reunification_status,family_reunification_status,0.98,keyword,True
parivar patta lagyo,family_reunification_status,family_reunification_status,0.376,ml,True
parivar jivit,family_reunification_status,family_reunification_status,0.6045,ml,True
search status,family_reunification_status,status_check_general,0.4451,ml,False
search progress,family_reunification_status,fallback_unclear,0.1467,fallback,False
update on search,family_reunification_status,fallback_unclear,0.2403,fallback,False
खोज स्थिति,family_reunification_status,fallback_unclear,0.222,fallback,False
खोज अपडेट,family_reunification_status,family_reunification_status,0.3228,ml,True
khoj sthiti,family_reunification_status,status_check_general,0.3933,ml,False
khoj pragati,family_reunification_status,fallback_unclear,0.1596,fallback,False
khoj update,family_reunification_status,status_check_general,0.4296,ml,False
punarmilan sthan now,family_reunification_status,family_reunification_status,0.98,keyword,True
qsafe parivar jivit,family_reunification_status,family_reunification_status,0.6303,ml,True
nepal परिवार पत्ता लाग्यो,family_reunification_status,family_member_missing,0.6529,ml,False
gathering point emergency,family_reunification_status,family_reunification_status,0.98,keyword,True
family found please,family_reunification_status,family_reunification_status,0.98,keyword,True
nepal parivar patta lagyo,family_reunification_status,family_reunification_status,0.3171,ml,True
पुनर्मिलन केन्द्र now,family_reunification_status,family_reunification_status,0.607,ml,True
update on search qsafe,family_reunification_status,fallback_unclear,0.1249,fallback,False
emergency located family,family_reunification_status,family_reunification_status,0.6899,ml,True
परिवार कहाँ छ nepal,family_reunification_status,family_reunification_status,0.2914,ml,True
parivar beththalo nepal,family_reunification_status,family_reunification_status,0.98,keyword,True
खोज अपडेट nepal,family_reunification_status,family_reunification_status,0.3695,ml,True
emergency punarmilan kendra,family_reunification_status,family_reunification_status,0.98,keyword,True
nepal parivar khoji,family_reunification_status,family_member_missing,0.98,keyword,False
emergency gathering point,family_reunification_status,family_reunification_status,0.98,keyword,True
nepal खोज अपडेट,family_reunification_status,fallback_unclear,0.2285,fallback,False
खोज स्थिति qsafe,family_reunification_status,family_reunification_status,0.3835,ml,True
please family location,family_reunification_status,family_reunification_status,0.7535,ml,True
hurt,injury_report,injury_report,1.0,keyword,True
casualty,injury_report,injury_report,0.98,keyword,True
घाइते,injury_report,greeting,0.3363,ml,False
चोटपट,injury_report,injury_report,0.4736,ml,True
घायेको,injury_report,injury_report,0.3379,ml,True
minor injury,injury_report,injury_report,0.98,keyword,True
